Contrast,Delay,Diameter,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
1,0,390,0.25,30,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,0,0.04,2,0,0,0,single,sequential_control
0,0,390,0.25,0,0.04,2,0,0,0,omission,sequential_control
1,0,390,0.25,315,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,90,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,255,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,240,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,15,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,45,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,225,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,30,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,105,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,60,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,60,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,0,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,120,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,240,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,330,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,285,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,135,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,345,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,0,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,345,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,210,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,210,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,300,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,300,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,345,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,285,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,255,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,165,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,165,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,60,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,270,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,0,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,105,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,90,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,135,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,45,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,165,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,210,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,150,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,240,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,180,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,120,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,270,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,285,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,60,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,150,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,270,0.04,2,0,0,0,single,sequential_control
1,0,390,0.25,45,0.04,2,0,0,0,single,sequential_control
